date,timestamp,open,high,low,close,volume
2020-11-20,23:00:00,3556.537,3557.597,3545.645,3546.433,2.55809990531998
2020-11-23,01:00:00,3551.733,3560.097,3548.033,3559.833,5.129509806633
2020-11-23,02:00:00,3559.849,3567.854,3558.251,3567.845,2.8318198932684
2020-11-23,03:00:00,3567.852,3568.845,3564.036,3565.554,3.28295987652382
2020-11-23,04:00:00,3565.531,3567.897,3564.533,3566.854,1.66823993704747
2020-11-23,05:00:00,3566.548,3569.354,3566.039,3567.839,1.22931995330146
2020-11-23,06:00:00,3568.048,3568.397,3565.842,3566.048,0.763489971111994
2020-11-23,07:00:00,3566.052,3566.854,3564.333,3566.851,1.49049994366942
2020-11-23,08:00:00,3566.837,3569.397,3565.039,3568.551,1.46163994504604
2020-11-23,09:00:00,3568.839,3578.551,3568.833,3573.345,6.12259977008216
2020-11-23,10:00:00,3573.334,3581.854,3570.033,3580.839,9.1924996568705
2020-11-23,11:00:00,3581.042,3582.399,3575.333,3579.845,5.6777897895081
2020-11-23,12:00:00,3579.846,3580.348,3576.542,3578.554,3.22924988000887
2020-11-23,13:00:00,3578.848,3578.899,3574.039,3575.354,2.02830992441159
2020-11-23,14:00:00,3575.349,3580.897,3571.039,3578.548,1.94623992691049
2020-11-23,15:00:00,3578.899,3580.899,3563.548,3572.042,5.85365978127811
2020-11-23,16:00:00,3572.343,3590.448,3569.033,3584.499,9.20923965331167
2020-11-23,17:00:00,3584.448,3585.436,3561.448,3573.639,12.3501595485141
2020-11-23,18:00:00,3573.999,3574.999,3551.736,3560.939,15.6258494067588
2020-11-23,19:00:00,3560.94,3569.999,3554.936,3569.733,9.62941963510821
2020-11-23,20:00:00,3569.936,3573.254,3567.433,3570.799,7.30069972219644
2020-11-23,21:00:00,3570.999,3579.545,3565.499,3579.242,9.0278096589027
2020-11-23,22:00:00,3579.536,3587.099,3573.036,3577.599,11.5495395635953
2020-11-23,23:00:00,3577.751,3579.299,3575.642,3578.436,1.54409994225716
2020-11-24,01:00:00,3580.154,3599.948,3578.642,3594.445,7.44249972101534
2020-11-24,02:00:00,3594.443,3597.499,3591.445,3594.436,5.09177980793174
2020-11-24,03:00:00,3594.699,3599.651,3593.633,3595.654,4.23232983978232
2020-11-24,04:00:00,3595.934,3602.499,3595.933,3600.948,2.72852989623789
2020-11-24,05:00:00,3601.142,3606.646,3600.133,3605.939,2.30212991213193
2020-11-24,06:00:00,3606.199,3608.454,3605.439,3607.954,1.48394994350383
2020-11-24,07:00:00,3608.151,3608.654,3602.133,3604.633,2.03056992328493
2020-11-24,08:00:00,3604.833,3606.497,3603.636,3604.451,2.03682992310496
2020-11-24,09:00:00,3604.636,3607.399,3599.633,3601.139,3.91195985249942
2020-11-24,10:00:00,3600.951,3608.499,3599.636,3602.448,8.64081967453239
2020-11-24,11:00:00,3602.434,3606.654,3600.633,3605.645,4.79469981888542
2020-11-24,12:00:00,3605.851,3607.499,3603.148,3606.533,3.3530098736519
2020-11-24,13:00:00,3606.54,3610.148,3603.939,3604.139,3.114519882889
2020-11-24,14:00:00,3604.439,3606.499,3598.633,3606.136,3.12479988159612
2020-11-24,15:00:00,3606.14,3609.499,3604.933,3605.948,2.38203991012415
2020-11-24,16:00:00,3605.997,3606.799,3596.033,3606.239,10.2571296105743
2020-11-24,17:00:00,3606.599,3620.554,3604.651,3618.039,12.812960523173
2020-11-24,18:00:00,3618.236,3638.099,3618.033,3633.054,9.14987965294858
2020-11-24,19:00:00,3633.299,3634.751,3629.236,3633.033,6.93844973779051
2020-11-24,20:00:00,3633.233,3641.248,3629.599,3634.199,7.90558970178245
2020-11-24,21:00:00,3634.251,3637.542,3626.236,3634.054,10.1651896282565
2020-11-24,22:00:00,3634.037,3637.799,3629.239,3635.245,13.2574595038895
2020-11-24,23:00:00,3635.243,3639.154,3634.133,3636.336,1.45213994616643
2020-11-25,01:00:00,3639.351,3645.854,3637.036,3644.554,3.46373986982508
2020-11-25,02:00:00,3644.539,3656.854,3641.536,3651.036,6.40604976180475
2020-11-25,03:00:00,3651.037,3656.099,3650.339,3653.036,3.74623985990183
2020-11-25,04:00:00,3653.346,3655.351,3648.051,3650.542,3.23305988038192
2020-11-25,05:00:00,3650.534,3652.399,3641.748,3645.551,5.00262981490232
2020-11-25,06:00:00,3645.839,3647.554,3643.045,3643.342,3.39201987389242
2020-11-25,07:00:00,3643.545,3644.399,3634.539,3635.033,6.59876975527732
2020-11-25,08:00:00,3635.399,3639.399,3634.833,3637.236,4.37569983804133
2020-11-25,09:00:00,3637.348,3643.399,3637.333,3643.351,4.78000982117373
2020-11-25,10:00:00,3643.899,3645.851,3633.839,3634.599,8.31365969165927
2020-11-25,11:00:00,3634.839,3639.249,3628.533,3634.851,7.39389973203652
2020-11-25,12:00:00,3634.833,3635.899,3627.045,3628.339,5.80290978506673
2020-11-25,13:00:00,3628.499,3634.599,3627.539,3632.499,3.96778985264245
2020-11-25,14:00:00,3632.539,3638.536,3629.033,3631.354,3.39181987475604
2020-11-25,15:00:00,3631.599,3636.345,3628.339,3632.345,4.45522983325645
2020-11-25,16:00:00,3632.439,3635.854,3621.436,3624.439,9.25145965680713
2020-11-25,17:00:00,3624.645,3627.999,3617.939,3623.654,9.13610965956468
2020-11-25,18:00:00,3623.939,3627.499,3619.439,3624.454,6.73411974962801
2020-11-25,19:00:00,3624.431,3630.142,3622.999,3629.951,3.77358985930914
2020-11-25,20:00:00,3630.199,3631.999,3624.639,3630.033,4.50858983240323
2020-11-25,21:00:00,3630.148,3630.149,3622.142,3627.648,6.65112975297961
2020-11-25,22:00:00,3627.643,3634.499,3626.936,3629.439,7.97531970276032
2020-11-25,23:00:00,3629.437,3632.545,3626.939,3631.039,1.0531299606082
2020-11-26,01:00:00,3634.339,3634.999,3631.833,3634.536,2.44697990902932
2020-11-26,02:00:00,3634.534,3637.349,3628.536,3634.336,3.30388987693004
2020-11-26,03:00:00,3634.346,3639.899,3633.839,3638.351,3.74104986066232
2020-11-26,04:00:00,3638.351,3639.554,3636.833,3638.545,2.65807990083704
2020-11-26,05:00:00,3638.854,3638.854,3631.039,3633.048,2.28890991408844
2020-11-26,06:00:00,3633.351,3633.899,3631.039,3632.551,1.7166499363957
2020-11-26,07:00:00,3632.836,3639.348,3632.336,3639.342,2.77526989637408
2020-11-26,08:00:00,3639.452,3640.399,3637.036,3639.233,1.82258993241703
2020-11-26,09:00:00,3639.333,3641.097,3636.833,3638.054,2.89264989207732
2020-11-26,10:00:00,3638.545,3638.899,3630.836,3631.054,7.20456973300315
