datetime,SPY
2024-01-31 17:30:00,482.88
2024-02-01 17:30:00,489.2
2024-02-02 17:30:00,494.35
2024-02-05 17:30:00,492.55
2024-02-06 17:30:00,493.98
2024-02-07 17:30:00,498.1
2024-02-08 17:30:00,498.32
2024-02-09 17:30:00,501.2
2024-02-12 17:30:00,500.98
2024-02-13 17:30:00,494.08
2024-02-14 17:30:00,498.57
2024-02-15 17:30:00,502.01
2024-02-16 17:30:00,499.51
2024-02-20 17:30:00,496.76
2024-02-21 17:30:00,497.21
2024-02-22 17:30:00,507.5
2024-02-23 17:30:00,507.85
2024-02-26 17:30:00,505.99
2024-02-27 17:30:00,506.93
2024-02-28 17:30:00,506.26
2024-02-29 17:30:00,508.08
2024-03-01 17:30:00,512.85
2024-03-04 17:30:00,512.3
2024-03-05 17:30:00,507.18
2024-03-06 17:30:00,509.75
2024-03-07 17:30:00,514.81
2024-03-08 17:30:00,511.72
2024-03-11 16:30:00,511.28
2024-03-12 16:30:00,516.78
2024-03-13 16:30:00,515.97
2024-03-14 16:30:00,514.95
2024-03-15 16:30:00,509.83
2024-03-18 16:30:00,512.86
2024-03-19 16:30:00,515.71
2024-03-20 16:30:00,520.48
2024-03-21 16:30:00,522.2
2024-03-22 16:30:00,521.21
2024-03-25 16:30:00,519.77
2024-03-26 16:30:00,518.81
2024-03-27 16:30:00,523.17
2024-03-28 16:30:00,523.07
2024-04-01 16:30:00,522.16
2024-04-02 16:30:00,518.84
2024-04-03 16:30:00,519.41
2024-04-04 16:30:00,513.07
2024-04-05 16:30:00,518.43
2024-04-08 16:30:00,518.72
2024-04-09 16:30:00,519.32
2024-04-10 16:30:00,514.12
2024-04-11 16:30:00,518.0
2024-04-12 16:30:00,510.85
2024-04-15 16:30:00,504.45
2024-04-16 16:30:00,503.53
2024-04-17 16:30:00,500.55
2024-04-18 16:30:00,499.52
2024-04-19 16:30:00,495.16
2024-04-22 16:30:00,499.72
2024-04-23 16:30:00,505.65
2024-04-24 16:30:00,505.41
2024-04-25 16:30:00,503.49
2024-04-26 16:30:00,508.26
2024-04-29 16:30:00,510.06
2024-04-30 16:30:00,501.98
2024-05-01 16:30:00,500.35
2024-05-02 16:30:00,505.03
